study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,celltype,n_selected_genes,padj_celltype_BH,padj_global_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Mphosph8,150.83012372255584,0.07505170773671252,0.07725216615945171,1.2095815650885129,0.2714150076893036,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Pspc1,102.29816911412955,-0.039363508470612964,0.0722887622069252,0.3487919672442672,0.5547977659480026,0.7430261432580584,neuromesodermal.progenitors,9405,0.7430261432580584,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Zmym5,40.05367276507533,-0.12589933405563503,0.11624993763304771,1.994293530059025,0.15789267614130736,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,2410022M11Rik,11.991189669966179,-0.01747959494866732,0.20811720559546523,0.026465185835505167,0.8707694185469255,0.8910441063468431,neuromesodermal.progenitors,9405,0.8910441063468431,0.901273134696529
GSE250136,pseudobulk_deseq2,celltype_barcode,Zmym2,38.52027258469078,-0.03641746579707347,0.11644749806332257,0.5955868834820421,0.44026680116511535,0.7171301117003654,neuromesodermal.progenitors,9405,0.7171301117003654,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Ift88,18.08408292938776,-0.01198625952712589,0.16058133587294654,0.94940190379603,0.3298715842821192,0.7014490156139067,neuromesodermal.progenitors,9405,0.7014490156139067,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Eef1akmt1,67.43041149727217,-0.001274496472625254,0.08382685977484083,2.3463569456794175e-4,0.9877786236330613,0.9877786236330613,neuromesodermal.progenitors,9405,0.9877786236330613,0.9881381613896291
GSE250136,pseudobulk_deseq2,celltype_barcode,Xpo4,56.674915483607876,0.0031845895560284874,0.09819938319649874,0.06852358480060161,0.793498692860606,0.8400037672474686,neuromesodermal.progenitors,9405,0.8400037672474686,0.8665337232558761
GSE250136,pseudobulk_deseq2,celltype_barcode,Lats2,19.798273235390294,0.132013763352013,0.15769349558295856,2.5036488436761033,0.11358286343032443,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
GSE250136,pseudobulk_deseq2,celltype_barcode,Sap18,106.82969954837698,0.08440647742727223,0.07357948166472016,3.893356924489069,0.048477436030078605,0.7008055266644746,neuromesodermal.progenitors,9405,0.7008055266644746,0.8252390699418494
