study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH,neural__pct_TLS,neuromesodermal.progenitors__pct_TLS,pluripotent__pct_TLS,somitic__pct_TLS,unknown__pct_TLS,neural__pct_neural_bias,neuromesodermal.progenitors__pct_neural_bias,pluripotent__pct_neural_bias,somitic__pct_neural_bias,unknown__pct_neural_bias,neural__detection_freq,neuromesodermal.progenitors__detection_freq,pluripotent__detection_freq,somitic__detection_freq,unknown__detection_freq
GSE250136,mast,celltype_single_cell,Nono,0.5476538654759562,0.025762417159012507,-0.0782384045287241,0.22950976628067998,-0.6400113429513032,0.0029144392033289557,0.48920791253861085,0.6796379203317852,0.47531422439891324,0.09726705531246302,0.009645931793863546,0.9659271527507931,0.9785166997544211,0.9837481328310289,0.995500824812625,0.9592662530347991,0.9702346880366343,0.922509225092251,0.9580492920818039,0.7841726618705036,0.9655355249204666,0.9602272727272727,0.9345794392523364,0.9582753824756607,0.7272727272727273,0.9624281321032223,0.9673602611179111,0.9278350515463918,0.9581111957349581,0.7515337423312883
GSE250136,mast,celltype_single_cell,Nop10,0.6712975487501494,0.19239989112704414,-0.2943746603880202,0.2389483998119699,-0.1351378531156513,0.006852716932167726,0.030237118922282345,0.6794436432353417,0.5381981504553354,0.4689926329955125,0.013404664019394321,0.9568423640428352,0.9785166997544211,0.9879344995215968,0.995500824812625,0.9851632047477745,0.9902690326273612,0.992619926199262,0.9795490298898794,0.7985611510791367,0.9848886532343585,0.9772727272727273,0.985981308411215,0.9791376912378303,0.8556149732620321,0.985024735927263,0.9865361077111383,0.9896907216494846,0.9794364051789795,0.8312883435582822
GSE250136,mast,celltype_single_cell,Nop56,0.3467952290694236,0.18132494915783948,-0.2667771217637749,0.1521921836763669,-0.4043588094718924,0.00459190470963476,0.3371866959777125,0.6258737587644755,0.5376463667060238,0.1400329494482672,0.011526985429223802,0.9568423640428352,0.966440990871839,0.9879344995215968,0.995500824812625,0.9152953871054761,0.8941041785918717,0.981549815498155,0.854745673833246,0.6115107913669064,0.9186108165429481,0.9076704545454546,0.9672897196261683,0.8567454798331016,0.5454545454545454,0.9169675090252708,0.898000815993472,0.9752577319587629,0.8552932216298553,0.5736196319018405
GSE250136,mast,celltype_single_cell,Nop58,0.44338657906005974,0.05177235703100358,-0.24683173867528563,0.001710380017969193,-0.685989842374159,0.017080266619589876,0.6612305182749005,0.7429022391851707,0.6952324223956963,0.03876949608649364,0.024230145669650757,0.9832753433879675,0.9964021960522161,0.9879344995215968,0.8653719484329542,0.9708659293229026,0.9753863766456783,0.996309963099631,0.940744625065548,0.8345323741007195,0.9724284199363733,0.96875,0.9953271028037384,0.9346314325452016,0.7647058823529411,0.9716539644337479,0.9734802121583027,0.9958762886597938,0.9390708301599391,0.7944785276073619
GSE250136,mast,celltype_single_cell,Npc2,0.34986222063966776,0.2876486072522728,0.25129372886515755,0.4347705628156402,-0.35826469757289603,5.085862833236655e-4,0.06094194468987026,0.12543001288147188,4.795500010656447e-4,0.4672864273304314,0.006933194569982071,0.9568423640428352,0.697433091786063,0.2047678504550303,0.995500824812625,0.9063933099541408,0.8958214081282198,0.9630996309963099,0.9355007865757735,0.5107913669064749,0.9175503711558854,0.8948863636363636,0.9439252336448598,0.9652294853963839,0.48663101604278075,0.9120203235726702,0.8955528355773154,0.954639175257732,0.9436405178979437,0.49693251533742333
GSE250136,mast,celltype_single_cell,Npm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GSE250136,mast,celltype_single_cell,Npm3,0.15461122154636198,0.16089280091033564,-0.28729681370864957,-0.10604840085740874,-0.36040960063192906,0.038822403671948044,0.18177106231309714,0.1769626267306095,0.5259575254524387,0.3063595901463973,0.04611172842259197,0.9568423640428352,0.7693061183527152,0.9837481328310289,0.995500824812625,0.8003776638791475,0.8540354894104178,0.955719557195572,0.8521237545883587,0.5179856115107914,0.8138918345705196,0.875,0.9485981308411215,0.8442280945757997,0.4919786096256685,0.8071934750635111,0.8600571195430436,0.9525773195876288,0.84996191926885,0.5030674846625767
GSE250136,mast,celltype_single_cell,Nsa2,0.5210503928220058,0.3543728012210181,0.4983405161972492,0.3944104609895511,-0.3672176823785058,0.02137378373161854,0.3201734780138918,0.12378871681234153,0.20880598624498042,0.35503977220077343,0.02897335128063847,0.9568423640428352,0.697433091786063,0.9837481328310289,0.995500824812625,0.9908281629349879,0.9885518030910132,0.992619926199262,0.9947561615102255,0.8848920863309353,0.9931071049840933,0.9886363636363636,1,0.9944367176634215,0.8556149732620321,0.9919775371038909,0.9885760913912689,0.9958762886597938,0.9946686976389947,0.8680981595092024
GSE250136,mast,celltype_single_cell,Nsd2,0.3442119891502733,0.27038161424662865,-0.03770751558417551,0.11225085342997732,0.16154538261724305,0.0028530031994109797,0.035509019828406534,0.16252034690299114,0.5234722702162724,0.35462375780138566,0.009517440360535066,0.9568423640428352,0.7612231985360307,0.9837481328310289,0.995500824812625,0.8856217966010251,0.8271322266742988,0.6051660516605166,0.7928683796539067,0.2949640287769784,0.8918345705196182,0.8565340909090909,0.6728971962616822,0.7830319888734353,0.3850267379679144,0.8887551811739537,0.835577315381477,0.6350515463917525,0.7901751713632902,0.34662576687116564
GSE250136,mast,celltype_single_cell,Nsmce4a,0.4197038247064211,0.04960270749117557,-0.3494224712690599,0.12287730088151916,-0.3110737846820686,1.8505400322059502e-4,0.9058647965753988,0.034388007699808536,0.28964106138937196,0.530370329023301,0.006204622690599899,0.9905358979198342,0.5063337685454566,0.9837481328310289,0.995500824812625,0.902886431076342,0.8809387521465369,0.977859778597786,0.8568432092291557,0.539568345323741,0.9090668080593849,0.8806818181818182,0.9299065420560748,0.8442280945757997,0.5294117647058824,0.9060034764005883,0.8808649530803754,0.9567010309278351,0.8533891850723534,0.5337423312883436
