study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,celltype,n_selected_genes,padj_celltype_BH,pct_TLS,pct_neural_bias,detection_freq,padj_global_BH
GSE250136,mast,celltype_single_cell,Brd1,H,Morphotypeneural_bias,0.13787724942784335,NA,NA,NA,NA,-0.09606889337475222,-0.09606889337475222,neuromesodermal.progenitors,9728,0.8068793601350148,0.6233543216943331,0.6079545454545454,0.6189310485516116,0.7141551604654797
GSE250136,mast,celltype_single_cell,Brd2,H,Morphotypeneural_bias,0.6651281222937984,NA,NA,NA,NA,-0.0031717100833614786,-0.0031717100833614786,neuromesodermal.progenitors,9728,0.9625647651176176,0.7389811104751002,0.7230113636363636,0.7343941248470012,0.9382068591887188
GSE250136,mast,celltype_single_cell,Brd3,H,Morphotypeneural_bias,0.3718176829621467,NA,NA,NA,NA,0.06776330604613356,0.06776330604613356,neuromesodermal.progenitors,9728,0.8928151418678472,0.8523182598740698,0.8707386363636364,0.857609139126887,0.8537912600453471
GSE250136,mast,celltype_single_cell,Brd4,H,Morphotypeneural_bias,0.5094376659594615,NA,NA,NA,NA,0.055239116606909944,0.055239116606909944,neuromesodermal.progenitors,9728,0.9310307805518505,0.7429879793932456,0.7613636363636364,0.7482660138718891,0.8949749066346906
GSE250136,mast,celltype_single_cell,Brd7,H,Morphotypeneural_bias,0.6925498169505486,NA,NA,NA,NA,0.01692457605984199,0.01692457605984199,neuromesodermal.progenitors,9728,0.9655573124732527,0.7882083571837436,0.7769886363636364,0.7849857201142391,0.9440733026576255
GSE250136,mast,celltype_single_cell,Brd8,H,Morphotypeneural_bias,0.6459566225237023,NA,NA,NA,NA,-0.0576882889642123,-0.0576882889642123,neuromesodermal.progenitors,9728,0.9587442227144902,0.7206639954207212,0.703125,0.7156262749898,0.9341261301658579
GSE250136,mast,celltype_single_cell,Brd9,H,Morphotypeneural_bias,0.3467123632296832,NA,NA,NA,NA,-0.04973220948775681,-0.04973220948775681,neuromesodermal.progenitors,9728,0.8928151418678472,0.5369204350314826,0.53125,0.5352917176662587,0.842900061543388
GSE250136,mast,celltype_single_cell,Brf1,H,Morphotypeneural_bias,0.6488729852386163,NA,NA,NA,NA,0.014696004195798862,0.014696004195798862,neuromesodermal.progenitors,9728,0.9595033232771498,0.1797366914710933,0.19460227272727273,0.18400652794777642,0.934777552046181
GSE250136,mast,celltype_single_cell,Brf2,H,Morphotypeneural_bias,0.5467300192029689,NA,NA,NA,NA,0.013623735330936665,0.013623735330936665,neuromesodermal.progenitors,9728,0.942190124275073,0.11161991986262164,0.12073863636363637,0.1142390860873113,0.9071507011865947
GSE250136,mast,celltype_single_cell,Bri3,H,Morphotypeneural_bias,0.72143083768755345,NA,NA,NA,NA,0.03839121197517947,0.03839121197517947,neuromesodermal.progenitors,9728,0.9684581649784303,0.882655981682885,0.8920454545454546,0.8853529171766625,0.9510369549036928
GSE250136,mast,celltype_single_cell,Bri3bp,H,Morphotypeneural_bias,0.35084686022437006,NA,NA,NA,NA,-0.05929147399039558,-0.05929147399039558,neuromesodermal.progenitors,9728,0.8928151418678472,0.6010303377218088,0.5696022727272727,0.5920032639738882,0.8449771693154463
GSE250136,mast,celltype_single_cell,Brip1,H,Morphotypeneural_bias,0.7107093897445224,NA,NA,NA,NA,0.006623805941658095,0.006623805941658095,neuromesodermal.progenitors,9728,0.9676958935383172,0.12135088723526044,0.12357954545454546,0.12199102407180742,0.9484961646796606
GSE250136,mast,celltype_single_cell,Brip1os,H,Morphotypeneural_bias,0.4399102351929305,NA,NA,NA,NA,-0.005914456403228546,-0.005914456403228546,neuromesodermal.progenitors,9728,0.9087994317412601,0.11505437893531768,0.11505681818181818,0.11505507955936352,0.8740444721822442
