study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Ccdc34,H,Morphotypeneural_bias,0.009353039588399082,NA,NA,NA,NA,0.47827106109432194,0.47827106109432194,0.05508530233472825,0.9198301376914169,0.9313795568263045,0.9246652203186952
GSE250136,mast,sample_single_cell,Ccnd1,H,Morphotypeneural_bias,0.9323120790421331,NA,NA,NA,NA,-0.09459454623207098,-0.09459454623207098,0.9389086267712048,0.8700295972204349,0.8708005718370264,0.8703523602902671
GSE250136,mast,sample_single_cell,Ccnd2,H,Morphotypeneural_bias,2.146699359456115e-5,NA,NA,NA,NA,8.00578159822351,8.00578159822351,0.004583203132438806,0.909149401621413,0.9056468906361687,0.9076831001720655
GSE250136,mast,sample_single_cell,Cct2,H,Morphotypeneural_bias,0.09456169437777535,NA,NA,NA,NA,0.6511940349200414,0.6511940349200414,0.13851747341101228,0.8296229571483722,0.8214796283059328,0.8262138101294232
GSE250136,mast,sample_single_cell,Cct3,H,Morphotypeneural_bias,0.040111794939243314,NA,NA,NA,NA,0.704244605281132,0.704244605281132,0.0869428245637406,0.9384892549221464,0.9367405289492494,0.9377571631630134
GSE250136,mast,sample_single_cell,Cct4,H,Morphotypeneural_bias,0.07914175754446429,NA,NA,NA,NA,0.4316617278935446,0.4316617278935446,0.12355952640397166,0.970274095997941,0.9726590421729807,0.9712725368444677
GSE250136,mast,sample_single_cell,Cct5,H,Morphotypeneural_bias,0.02474556514544742,NA,NA,NA,NA,0.8142134547312168,0.8142134547312168,0.07139429943990573,0.8662977737742891,0.8713366690493209,0.8684072716391112
GSE250136,mast,sample_single_cell,Cct6a,H,Morphotypeneural_bias,0.1475876812754806,NA,NA,NA,NA,0.5111068798379632,0.5111068798379632,0.1898190960982838,0.9332132286706988,0.9306647605432452,0.9321463305154485
GSE250136,mast,sample_single_cell,Cct7,H,Morphotypeneural_bias,0.019760440055600025,NA,NA,NA,NA,0.5964338703820182,0.5964338703820182,0.06842930510367344,0.9954960751512032,0.9980343102215868,0.9965586893094935
GSE250136,mast,sample_single_cell,Cct8,H,Morphotypeneural_bias,0.07413561916807515,NA,NA,NA,NA,0.4187081614035906,0.4187081614035906,0.11945626182931356,0.947754471753957,0.9406719085060757,0.9447894067479614
GSE250136,mast,sample_single_cell,Cd24a,H,Morphotypeneural_bias,0.19438056419710176,NA,NA,NA,NA,0.2382534641559957,0.2382534641559957,0.2318449746149789,0.990348732466864,0.9885632594710507,0.989601256826513
GSE250136,mast,sample_single_cell,Cd81,H,Morphotypeneural_bias,0.1394140107945015,NA,NA,NA,NA,0.14751980900051365,0.14751980900051365,0.18177032857786912,0.8392742246815081,0.8379199428162973,0.838707264158001
GSE250136,mast,sample_single_cell,Cdc26,H,Morphotypeneural_bias,1.5563754611149153e-4,NA,NA,NA,NA,0.2922059562556649,0.2922059562556649,0.008860964291947585,0.8036288765924592,0.8028949249463903,0.8033216129273584
GSE250136,mast,sample_single_cell,Cdc34,H,Morphotypeneural_bias,0.004504285485941852,NA,NA,NA,NA,0.26451435929534384,0.26451435929534384,0.04290216747062152,0.983657186977223,0.976590421729807,0.9806987356923768
GSE250136,mast,sample_single_cell,Cdc37,H,Morphotypeneural_bias,0.02369395905956735,NA,NA,NA,NA,0.2744377694892939,0.2744377694892939,0.07001605895110906,0.9081199330845451,0.9076125804145818,0.9079075334779682
