study,technique,analysis_level,gene,neural__log2FoldChange,neuromesodermal.progenitors__log2FoldChange,pluripotent__log2FoldChange,somitic__log2FoldChange,unknown__log2FoldChange,neural__pvalue,neuromesodermal.progenitors__pvalue,pluripotent__pvalue,somitic__pvalue,unknown__pvalue,neural__padj_celltype_BH,neuromesodermal.progenitors__padj_celltype_BH,pluripotent__padj_celltype_BH,somitic__padj_celltype_BH,unknown__padj_celltype_BH
GSE250136,pseudobulk_deseq2,celltype_barcode,Isca1,-0.34427192947260693,-0.3961379431911329,0.056344920232398385,-0.13850691104765434,-1.2218049116309484,0.005719656175276373,0.09819510356399778,0.8927722578033149,0.5235215259175581,0.13632143338363376,0.26562372880827795,0.9047409992872526,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Etohd2,-0.09197961562238972,1.6747888932940023,0.6742281400941617,0.4288487467134641,0,0.824184933715491,0.006498711090420312,0.4359336067336024,0.4656899695963679,1,1,0.7170779771026341,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Tut7,0.007116128748865811,-0.03601316727933217,-0.05612067551706948,0.06844367646012081,0.15597967263315968,0.9329521904969941,0.7772266703298695,0.754441094272287,0.5472722999483806,0.7536716666114096,1,0.9935390657625321,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm48194,-0.594750942720693,2.2065065590367126,0,0.235804233234103,0,0.9271230398367278,0.7343165312081997,1,0.9710733878982554,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm34961,0.08311629125557136,1.5337689886433756,-0.22653517128806572,1.3883954948803545,0,0.8777675509187293,0.03318049682390716,0.8008134437392375,0.05714071806810927,1,1,0.8396859888462195,1,0.9825256188984662,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm19866,-0.5937184497935118,2.044501455216859,-1.148912451446788,0.7500313462245595,0,0.82577410134322,0.44775329334149727,0.6689223245603882,0.781315133081103,1,1,0.9846063789326811,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gas1,-0.02445575566336591,0.09933423986079155,0.12954938041542707,0.0964686184905153,-0.10856279468767226,0.8135237055935791,0.3940574249312764,0.43597601537963404,0.36522968432519043,0.5974104280824648,1,0.9696296985834117,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm48488,-0.39685709894399257,1.0037161561696515,0.6619417805302991,0.2608018099893124,0,0.5241060442397488,0.1882840449850256,0.47347877858456433,0.7587512043365918,1,1,0.9255584286789615,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Dapk1,-0.050329468692627284,0.13678251842858002,0.45580417303554355,0.020409298090805012,0.6452504755761149,0.5037245960990675,0.2399593884643825,0.12571301925195438,0.841495701362198,0.23993415984418465,1,0.9351250269522533,0.9514363561361139,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,4930486L24Rik,0,0,0.6838844297915161,0,0,1,1,0.9162575970571498,1,1,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Ctla2a,0.19023481653344207,2.8951849700672767,-0.7491717453542774,0.6689191348503862,0,0.9524345640927636,0.37624491006771804,0.819181883155225,0.8382532134192434,1,1,0.9651362225969813,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm48116,0.2087021869693425,1.781263252214778,-0.012665754665600035,-0.1982135687648471,0,0.9251300327102432,0.42543289165500764,0.9954984914430048,0.9290720088544882,1,1,0.9774797425925329,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm40977,0,2.0832736754023027,-0.06103756101502195,1.0036182679706365,0,1,0.5471820748711592,0.9858236057268193,0.7720969055315908,1,1,0.9922628470126523,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Zfp808,-0.0024749698921489234,-0.07406325193397088,-0.7132114606756921,0.29464216706114316,-0.9865788532937964,0.9949247629644701,0.8957453536352529,0.19550379408061264,0.5970720317725741,0.24797173711369577,1,1,1,1,1
GSE250136,pseudobulk_deseq2,celltype_barcode,Gm19792,0.6535477377097489,0,0,0.9934181857897201,0,0.9199479115796532,1,1,0.8785948284179067,1,1,1,1,1,1
