study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,n_selected_genes,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Zfand5,1029.8238380005114,0.08176224539171832,0.03981974531360275,4.230060521857297,0.03971402443949952,0.36989423210242284,12491,0.36989423210242284
GSE250136,pseudobulk_deseq2,sample_barcode,1110059E24Rik,326.8585094812411,-0.03227509500729521,0.039295747801443744,0.7382991151112037,0.39020627752138887,0.8001713920492508,12491,0.8001713920492508
GSE250136,pseudobulk_deseq2,sample_barcode,Abhd17b,318.5003254871487,-0.02999971688382502,0.04656350512632182,0.42603399647316564,0.5139414503536279,0.8426307687738847,12491,0.8426307687738847
GSE250136,pseudobulk_deseq2,sample_barcode,Cemip2,380.86624391399863,0.003051636194122122,0.05920799746324214,0.004098808785926167,0.9489527571451476,0.9556091217240099,12491,0.9556091217240099
GSE250136,pseudobulk_deseq2,sample_barcode,Klf9,67.19679305295877,0.04306494503721283,0.311166703307176,0.01949860055410113,0.8889464974508601,0.9197816691723041,12491,0.9197816691723041
GSE250136,pseudobulk_deseq2,sample_barcode,Smc5,516.4342852620763,-0.0059534999055790554,0.03885014599839331,0.03839637387432049,0.8446493586126885,0.9006804822908291,12491,0.9006804822908291
GSE250136,pseudobulk_deseq2,sample_barcode,Ptar1,263.13693218248756,0.05194803261177922,0.04758968677127027,1.192295186831359,0.27486707834795965,0.7348034354122274,12491,0.7348034354122274
GSE250136,pseudobulk_deseq2,sample_barcode,Fam189a2,16.926648662571225,0.5065575125937244,0.19196603498419917,7.030184378124261,0.008014710069685599,0.1947543361291306,12491,0.1947543361291306
GSE250136,pseudobulk_deseq2,sample_barcode,Tjp2,262.4428885696973,-0.10417228439872628,0.05113746093627426,4.188300045421414,0.04070389369482436,0.37519677656705264,12491,0.37519677656705264
GSE250136,pseudobulk_deseq2,sample_barcode,Fxn,340.67496983538666,0.018531621282770114,0.03907076063559824,0.2408718884076677,0.623577099072555,0.8681429812949457,12491,0.8681429812949457
GSE250136,pseudobulk_deseq2,sample_barcode,Pip5k1b,33.310237166320654,0.0221699196403708,0.13371549615573516,0.05369657379975479,0.8167514480905982,0.8904701105666525,12491,0.8904701105666525
GSE250136,pseudobulk_deseq2,sample_barcode,Fam122a,193.0731756018191,0.0820722042756981,0.05797838742637478,2.080038826505472,0.14923638024500196,0.6139930745580262,12491,0.6139930745580262
GSE250136,pseudobulk_deseq2,sample_barcode,Gm10053,22.155999170938358,-0.2584833983918736,0.14673478041169283,3.279302133018433,0.07015875544844562,0.4688511800701369,12491,0.4688511800701369
GSE250136,pseudobulk_deseq2,sample_barcode,Cbwd1,80.22110585741581,0.0035928042165393635,0.07958590977204265,0.03614877985975795,0.8492085749756719,0.9028713940444004,12491,0.9028713940444004
GSE250136,pseudobulk_deseq2,sample_barcode,Kank1,142.16854038169726,-0.059346916802562544,0.06914159971060452,0.736922125485421,0.39064861844618437,0.8001713920492508,12491,0.8001713920492508
GSE250136,pseudobulk_deseq2,sample_barcode,Dmrt1,7.239804935014347,0.5413450795645898,0.4359531405726927,1.5399267973571966,0.21462870155490263,0.6877148492613477,12491,0.6877148492613477
GSE250136,pseudobulk_deseq2,sample_barcode,2610016A17Rik,128.9068846704969,-0.7277637915112312,0.2547213391564699,8.08676710789959,0.0044589631724042305,0.1633209678103485,12491,0.1633209678103485
GSE250136,pseudobulk_deseq2,sample_barcode,Dmrt2,247.55951911061337,-0.7389553395138566,0.23095617336523172,10.135027434697292,0.0014547807829201039,0.11687782878747197,12491,0.11687782878747197
GSE250136,pseudobulk_deseq2,sample_barcode,Smarca2,79.94310648674886,-0.23292475404980797,0.11535418323953023,4.07203258516202,0.043598781814452064,0.38614766146835033,12491,0.38614766146835033
GSE250136,pseudobulk_deseq2,sample_barcode,Vldlr,61.037203814036694,-0.14883455032525017,0.1448544180427349,1.110350258054126,0.29200582288960286,0.746157891786635,12491,0.746157891786635
GSE250136,pseudobulk_deseq2,sample_barcode,Pum3,556.0475011582429,-0.08361466925928741,0.04467004337252837,3.5052623084146433,0.06117415749532019,0.4450001322752179,12491,0.4450001322752179
GSE250136,pseudobulk_deseq2,sample_barcode,Rfx3,96.87942723791598,0.06866276772021523,0.07331813596023372,0.8855872116779437,0.3466759398396715,0.7756344405093667,12491,0.7756344405093667
GSE250136,pseudobulk_deseq2,sample_barcode,Glis3,35.5571781037772,0.11433170273955523,0.1356976665211244,0.7385058286991466,0.3901399352307928,0.8001713920492508,12491,0.8001713920492508
GSE250136,pseudobulk_deseq2,sample_barcode,Plpp6,12.765607046658571,0.22462742388640183,0.19857735276117902,1.5646768527807922,0.21098175086756243,0.6839637810964349,12491,0.6839637810964349
GSE250136,pseudobulk_deseq2,sample_barcode,Cdc37l1,250.24116670783474,-0.03163174828119077,0.05949557186311201,0.30916322381628447,0.5781941190781652,0.8579831944025524,12491,0.8579831944025524
GSE250136,pseudobulk_deseq2,sample_barcode,Ak3,73.80363118458821,-0.11054928213506432,0.08815326054599965,1.6080204150385669,0.20477029411523698,0.6770851822782477,12491,0.6770851822782477
GSE250136,pseudobulk_deseq2,sample_barcode,Gm9895,17.302115871469656,0.5978130728316453,0.16444450118367948,13.509546384421043,2.3735290724250654e-4,0.05293817520462333,12491,0.05293817520462333
GSE250136,pseudobulk_deseq2,sample_barcode,Rcl1,322.12473569579294,-0.007613889687125101,0.04678296830294959,0.028685411140031647,0.8655074435810587,0.9088774146903836,12491,0.9088774146903836
GSE250136,pseudobulk_deseq2,sample_barcode,Jak2,102.93254165051788,0.29759551849644644,0.10147410836560584,8.609021780223458,0.0033450191038665433,0.1476299950787743,12491,0.1476299950787743
GSE250136,pseudobulk_deseq2,sample_barcode,Insl6,80.3391602906935,0.5689078642154308,0.15071501992515002,14.227358367953599,1.6199810327153022e-4,0.05058390774653531,12491,0.05058390774653531
GSE250136,pseudobulk_deseq2,sample_barcode,Rln1,63.42353542866817,0.14315145652681877,0.1322277383001339,1.1941685811279115,0.2744903139139596,0.7343290508459095,12491,0.7343290508459095
