study,technique,analysis_level,gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj_BH
GSE250136,pseudobulk_deseq2,sample_barcode,Plbd1,1.4945748472594167,0.3574054654493565,0.6608677720045683,0.540812369114719,0.5886369163685232,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Hist4h4,22.14262227476874,-0.29270464307469535,0.16299468303422643,-1.7957925843092182,0.07252751057255079,0.506884114035647,0.6381481342294857
GSE250136,pseudobulk_deseq2,sample_barcode,H2afj,803.5525628693437,0.03254010500126946,0.02990393662817103,1.0881545599121898,0.2765268809444028,0.7723154180367147,0.9094964636740189
GSE250136,pseudobulk_deseq2,sample_barcode,Wbp11,1317.82909032935,0.003254931622288182,0.02319986231936769,0.14029960943220351,0.8884232729008339,0.9799487380405587,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,BC049715,10.451098545595807,0.06578065939053868,0.21523567928953427,0.30562153824901295,0.7598928195116987,0.9532485081451482,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Mgp,5.3302811716564555,-1.872894272132023,0.5162878032746155,-3.627616728989089,2.860494629864937e-4,0.06652346918029965,0.08893714150888543
GSE250136,pseudobulk_deseq2,sample_barcode,Arhgdib,2.65699923034833,-0.4089821546530303,0.4803590081256135,-0.8514093578652777,0.39454199528050943,NA,0.9604166938433869
GSE250136,pseudobulk_deseq2,sample_barcode,Rerg,5.27874554919685,-0.19533116520862517,0.3332211547138674,-0.5861907698397885,0.557747323703774,0.906984541921336,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Ptpro,0.5753614300752308,0.2521139048073321,0.9556419170288841,0.2638162896738151,0.7919214817861091,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Eps8,25.676732177098227,-0.20281564194772064,0.14274736286213008,-1.4208013225687848,0.15537452610894623,0.6592127002909249,0.8069621480584681
GSE250136,pseudobulk_deseq2,sample_barcode,Strap,1326.220426681567,-0.05134481043627152,0.02582228204242558,-1.9883916670073098,0.046768389682659096,0.4269369084420084,0.547880165427281
GSE250136,pseudobulk_deseq2,sample_barcode,Dera,404.75892974740884,-0.0034956047238232013,0.03563977670628932,-0.09808155512956217,0.9218675337735605,0.9866845492095525,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Mgst1,154.28314932572331,-0.024082217914510075,0.07897206418576005,-0.3049460358268372,0.7604072530028129,0.9532485081451482,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Lmo3,11.732325905891367,0.6464954241486746,0.2663674694761235,2.42708099986896,0.015220857153274692,0.27407530314971396,0.3575049982326133
GSE250136,pseudobulk_deseq2,sample_barcode,Plekha5,215.49132182940428,0.014483601333556036,0.04922208267552188,0.294250071233957,0.7685668219383139,0.9543443768158918,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Aebp2,327.4788643953771,-0.06344174046131489,0.041796211175599694,-1.517882570618068,0.12904400454298573,0.6255106742050979,0.7743228797368317
GSE250136,pseudobulk_deseq2,sample_barcode,Gm28523,0.39149649095204264,-0.7869705590429519,1.087205894182584,-0.7238468474590417,0.46915976475549065,NA,0.9804266527942409
GSE250136,pseudobulk_deseq2,sample_barcode,Pde3a,3.8222211223223295,-0.8737187110735933,0.4426395670789744,-1.9738829875497939,0.048395049628991486,0.4316875680673061,0.551327962997543
GSE250136,pseudobulk_deseq2,sample_barcode,Slco1b2,0.045899675359731294,-0.10526032576500718,3.0031753561946934,-0.03504967685216422,0.9720401287854227,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Pyroxd1,76.0791369897844,0.03354799600143215,0.07847444376735971,0.42750218276011465,0.669013595626402,0.9371168171911397,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Recql,139.25849097659386,0.06566886787497084,0.07071470185285779,0.9286451919377917,0.3530729932792535,0.8197014564831523,0.942905581286157
GSE250136,pseudobulk_deseq2,sample_barcode,Golt1b,301.453630756224,-0.01689300486517673,0.039534156517382284,-0.4273015122442097,0.6691597314978158,0.9371168171911397,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Spx,1.6330676326482685,-0.24370663829596959,0.5253790016722216,-0.46386825038739476,0.6427421412309767,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Ldhb,606.3703890557483,0.0010510850614232543,0.20437120003630752,0.0051430194725896996,0.9958964822570383,0.9987011993451914,0.9986411826979081
GSE250136,pseudobulk_deseq2,sample_barcode,Kcnj8,0.1639474629615779,-0.10671889752023409,1.5872509072513923,-0.06723505214751263,0.9463945806690801,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Cmas,343.00933529764905,0.008400983491573456,0.04033934384616705,0.20825781211539704,0.8350276704583198,0.9701075945472194,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Sult6b2,0.9358664347445693,1.0590612590548658,0.8177597402945572,1.295076300373251,0.19529390960188345,NA,0.8466016694391841
GSE250136,pseudobulk_deseq2,sample_barcode,St8sia1,70.37421742512811,0.39796736007729533,0.17789350761460668,2.2371100857680686,0.025279145942699845,0.3280908010440068,0.42732487446174
GSE250136,pseudobulk_deseq2,sample_barcode,C2cd5,162.29669228404512,0.18302097657879782,0.06404189127264366,2.857832161758434,0.004265459405053161,0.17358547333932656,0.23071823163986316
GSE250136,pseudobulk_deseq2,sample_barcode,Gm31108,0.08508516817205214,-0.10525974525111831,2.902146275798043,-0.036269620910880374,0.9710673729961383,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Etnk1,277.8066494106218,0.043447680974723554,0.06859317999618028,0.6334110909735197,0.5264652241581127,0.8932396859989444,0.989901401389547
GSE250136,pseudobulk_deseq2,sample_barcode,Sox5,57.38604371847972,0.015179180588164493,0.11198097043546629,0.13555142922173666,0.8921759047957575,0.9799487380405587,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Bcat1,400.5257711254406,0.10456003222709012,0.05744356904885864,1.8202217229600857,0.06872524627984967,0.4961548741680985,0.6273703381612021
GSE250136,pseudobulk_deseq2,sample_barcode,Gm26666,0.355261126149945,0.11984868109820326,1.0929982886147454,0.1096512980364299,0.9126859259535647,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm15687,0.04296485764414384,0.620147449281759,3.0030018602885566,0.2065091791925062,0.8363931953135051,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Lrmp,14.603872392850477,-1.0226794319904413,0.26610983833298846,-3.8430726139134417,1.2150349980142261e-4,0.049033809434568226,0.0655547117752146
GSE250136,pseudobulk_deseq2,sample_barcode,Casc1,32.11827999380858,0.1501718915984639,0.15281464445398682,0.9827061544725272,0.32575208080820317,0.805341315453938,0.931469190626181
GSE250136,pseudobulk_deseq2,sample_barcode,Etfrf1,106.9243711814798,-0.018888932254127577,0.06926130234182001,-0.2727198538789593,0.7850685718387364,0.9572260931393692,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Kras,900.5514947131235,0.011454367781536074,0.027621987288929995,0.4146829720005923,0.6783739993398918,0.939175631861261,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Gm15706,21.810412675247683,0.05993924069862243,0.1437902486787038,0.4168519162419377,0.6767867259011211,0.9391744961097491,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Tuba3b,0.36783803926938585,0.40740976171963,1.1046358479276355,0.36881816073953755,0.7122632672135815,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Rassf8,74.03714797593638,0.09553437987474458,0.0805017530883429,1.1867366387649325,0.23533151823758286,0.74337641315439,0.8838182721064851
GSE250136,pseudobulk_deseq2,sample_barcode,Bhlhe41,5.631054774399867,-0.33881070586757966,0.29967727964996765,-1.1305852290948486,0.258229707385585,0.757992827829527,0.8963881645036494
GSE250136,pseudobulk_deseq2,sample_barcode,Sspn,0.787766958864469,-0.26402317882643134,0.7850362344742162,-0.3363197356148316,0.7366297689847915,NA,0.9939750250947177
GSE250136,pseudobulk_deseq2,sample_barcode,Itpr2,27.86442385087886,-0.4487809426680537,0.1448986915488252,-3.097204935883303,0.0019535476860407268,0.13595644351950034,0.18176408424471358
