study,technique,analysis_level,gene,component,contrast,pvalue,ci.hi,ci.lo,coef,z,logFC,log2FoldChange,n_selected_genes,padj_BH,pct_TLS,pct_neural_bias,detection_freq
GSE250136,mast,sample_single_cell,Dus3l,H,Morphotypeneural_bias,0.18207944568616122,NA,NA,NA,NA,-0.009811084453579227,-0.009811084453579227,11573,0.4261778611408288,0.13370222622571099,0.13134381701215153,0.13271489489040172
GSE250136,mast,sample_single_cell,Dus4l,H,Morphotypeneural_bias,0.300551335136447,NA,NA,NA,NA,0.009717978639152441,0.009717978639152441,11573,0.5623249879060573,0.13910693604426716,0.1527877055039314,0.14483429340914192
GSE250136,mast,sample_single_cell,Dusp1,H,Morphotypeneural_bias,0.8741017508451617,NA,NA,NA,NA,0.003369501896115887,0.003369501896115887,11573,0.9410500902503787,0.11967571741088663,0.1290207290922087,0.12358794045036284
GSE250136,mast,sample_single_cell,Dusp11,H,Morphotypeneural_bias,0.34780591292641233,NA,NA,NA,NA,-0.013137616415298314,-0.013137616415298314,11573,0.6063428925825046,0.48719598507270623,0.4860614724803431,0.48672102940076306
GSE250136,mast,sample_single_cell,Dusp12,H,Morphotypeneural_bias,0.1770618446355173,NA,NA,NA,NA,-5.804200139715721e-4,-5.804200139715721e-4,11573,0.42011865753041006,0.2658602496461202,0.2823445318084346,0.2727612777736216
GSE250136,mast,sample_single_cell,Dusp14,H,Morphotypeneural_bias,0.5506539539478125,NA,NA,NA,NA,-7.575618387612865e-4,-7.575618387612865e-4,11573,0.7589527816917682,0.07785355810063055,0.08023588277340958,0.07885090147377871
GSE250136,mast,sample_single_cell,Dusp16,H,Morphotypeneural_bias,0.3447775809476878,NA,NA,NA,NA,0.004981393804646572,0.004981393804646572,11573,0.6040524097996431,0.09960108094196371,0.10864903502501787,0.1033889429191292
GSE250136,mast,sample_single_cell,Dusp18,H,Morphotypeneural_bias,0.3329763009702141,NA,NA,NA,NA,0.006200894426041534,0.006200894426041534,11573,0.5943547362065891,0.07141937974520654,0.08077197998570407,0.07533477968130471
GSE250136,mast,sample_single_cell,Dusp19,H,Morphotypeneural_bias,0.3475041419726813,NA,NA,NA,NA,-0.0042924193776534,-0.0042924193776534,11573,0.6060765532641852,0.1464418993694505,0.1527877055039314,0.14909852622129124
GSE250136,mast,sample_single_cell,Dusp22,H,Morphotypeneural_bias,0.05387563572688248,NA,NA,NA,NA,-0.014645119684538438,-0.014645119684538438,11573,0.20327644494016436,0.16252734525801055,0.15564689063616868,0.15964689159871326
